"Geslacht";"Niveau";"Leerweg";"Studierichting";"Regio";"Perioden";"Gediplomeerden mbo (Aantal)"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Flevoland (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Gelderland (PV)";"2020/'21*";"      80"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Utrecht (PV)";"2020/'21*";"      80"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Noord-Holland (PV)";"2020/'21*";"      50"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Zuid-Holland (PV)";"2020/'21*";"      90"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Zeeland (PV)";"2020/'21*";"      10"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Noord-Brabant (PV)";"2020/'21*";"      30"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Limburg (PV)";"2020/'21*";"      10"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Niet in te delen (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Nederland";"2020/'21*";"   78750"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Groningen (PV)";"2020/'21*";"    2970"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Fryslân (PV)";"2020/'21*";"    3680"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Drenthe (PV)";"2020/'21*";"    2620"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Overijssel (PV)";"2020/'21*";"    6280"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Flevoland (PV)";"2020/'21*";"    2560"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Gelderland (PV)";"2020/'21*";"    9890"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Utrecht (PV)";"2020/'21*";"    5210"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Noord-Holland (PV)";"2020/'21*";"   10960"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Zuid-Holland (PV)";"2020/'21*";"   16970"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Zeeland (PV)";"2020/'21*";"    1700"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Noord-Brabant (PV)";"2020/'21*";"   10970"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Limburg (PV)";"2020/'21*";"    4530"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Niet in te delen (PV)";"2020/'21*";"     420"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Nederland";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Groningen (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Fryslân (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Drenthe (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Overijssel (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Flevoland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Gelderland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Utrecht (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Noord-Holland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Zuid-Holland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Zeeland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Noord-Brabant (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Limburg (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Niet in te delen (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Nederland";"2020/'21*";"    1520"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Groningen (PV)";"2020/'21*";"      70"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Fryslân (PV)";"2020/'21*";"      50"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Drenthe (PV)";"2020/'21*";"      50"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Overijssel (PV)";"2020/'21*";"     100"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Flevoland (PV)";"2020/'21*";"      40"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Gelderland (PV)";"2020/'21*";"     160"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Utrecht (PV)";"2020/'21*";"     110"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Noord-Holland (PV)";"2020/'21*";"     220"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Zuid-Holland (PV)";"2020/'21*";"     330"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Zeeland (PV)";"2020/'21*";"      50"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Noord-Brabant (PV)";"2020/'21*";"     240"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Limburg (PV)";"2020/'21*";"     100"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Niet in te delen (PV)";"2020/'21*";"      10"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Nederland";"2020/'21*";"    1300"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Groningen (PV)";"2020/'21*";"      40"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Fryslân (PV)";"2020/'21*";"      50"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Drenthe (PV)";"2020/'21*";"      40"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Overijssel (PV)";"2020/'21*";"      90"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Flevoland (PV)";"2020/'21*";"      40"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Gelderland (PV)";"2020/'21*";"     110"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Utrecht (PV)";"2020/'21*";"      80"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Noord-Holland (PV)";"2020/'21*";"     260"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Zuid-Holland (PV)";"2020/'21*";"     350"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Zeeland (PV)";"2020/'21*";"      30"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Noord-Brabant (PV)";"2020/'21*";"     130"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Limburg (PV)";"2020/'21*";"      70"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Niet in te delen (PV)";"2020/'21*";"      10"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Nederland";"2020/'21*";"   39020"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Groningen (PV)";"2020/'21*";"    1520"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Fryslân (PV)";"2020/'21*";"    2050"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Drenthe (PV)";"2020/'21*";"    1490"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Overijssel (PV)";"2020/'21*";"    3380"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Flevoland (PV)";"2020/'21*";"    1300"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Gelderland (PV)";"2020/'21*";"    5050"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Utrecht (PV)";"2020/'21*";"    2520"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Noord-Holland (PV)";"2020/'21*";"    4980"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Zuid-Holland (PV)";"2020/'21*";"    7910"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Zeeland (PV)";"2020/'21*";"    1040"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Noord-Brabant (PV)";"2020/'21*";"    5140"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Limburg (PV)";"2020/'21*";"    2450"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Niet in te delen (PV)";"2020/'21*";"     200"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Nederland";"2020/'21*";"    5860"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Groningen (PV)";"2020/'21*";"     220"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Fryslân (PV)";"2020/'21*";"     250"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Drenthe (PV)";"2020/'21*";"     190"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Overijssel (PV)";"2020/'21*";"     560"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Flevoland (PV)";"2020/'21*";"     190"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Gelderland (PV)";"2020/'21*";"     700"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Utrecht (PV)";"2020/'21*";"     280"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Noord-Holland (PV)";"2020/'21*";"     980"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Zuid-Holland (PV)";"2020/'21*";"    1270"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Zeeland (PV)";"2020/'21*";"     100"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Noord-Brabant (PV)";"2020/'21*";"     790"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Limburg (PV)";"2020/'21*";"     300"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Niet in te delen (PV)";"2020/'21*";"      30"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Nederland";"2020/'21*";"    4140"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Groningen (PV)";"2020/'21*";"     120"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Fryslân (PV)";"2020/'21*";"     180"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Drenthe (PV)";"2020/'21*";"      80"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Overijssel (PV)";"2020/'21*";"     330"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Flevoland (PV)";"2020/'21*";"     140"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Gelderland (PV)";"2020/'21*";"     560"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Utrecht (PV)";"2020/'21*";"     410"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Noord-Holland (PV)";"2020/'21*";"     610"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Zuid-Holland (PV)";"2020/'21*";"     810"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Zeeland (PV)";"2020/'21*";"      40"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Noord-Brabant (PV)";"2020/'21*";"     680"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Limburg (PV)";"2020/'21*";"     160"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Niet in te delen (PV)";"2020/'21*";"      20"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Nederland";"2020/'21*";"   11210"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Groningen (PV)";"2020/'21*";"     310"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Fryslân (PV)";"2020/'21*";"     510"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Drenthe (PV)";"2020/'21*";"     360"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Overijssel (PV)";"2020/'21*";"     720"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Flevoland (PV)";"2020/'21*";"     360"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Gelderland (PV)";"2020/'21*";"    1630"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Utrecht (PV)";"2020/'21*";"     770"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Noord-Holland (PV)";"2020/'21*";"    1480"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Zuid-Holland (PV)";"2020/'21*";"    2230"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Zeeland (PV)";"2020/'21*";"     200"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Noord-Brabant (PV)";"2020/'21*";"    1870"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Limburg (PV)";"2020/'21*";"     700"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Niet in te delen (PV)";"2020/'21*";"      70"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Nederland";"2020/'21*";"    9050"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Groningen (PV)";"2020/'21*";"     280"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Fryslân (PV)";"2020/'21*";"     340"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Drenthe (PV)";"2020/'21*";"     240"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Overijssel (PV)";"2020/'21*";"     710"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Flevoland (PV)";"2020/'21*";"     300"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Gelderland (PV)";"2020/'21*";"    1070"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Utrecht (PV)";"2020/'21*";"     650"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Noord-Holland (PV)";"2020/'21*";"    1390"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Zuid-Holland (PV)";"2020/'21*";"    2050"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Zeeland (PV)";"2020/'21*";"     140"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Noord-Brabant (PV)";"2020/'21*";"    1350"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Limburg (PV)";"2020/'21*";"     490"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Niet in te delen (PV)";"2020/'21*";"      40"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Nederland";"2020/'21*";"     570"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Groningen (PV)";"2020/'21*";"      10"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Fryslân (PV)";"2020/'21*";"      30"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Drenthe (PV)";"2020/'21*";"      10"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Overijssel (PV)";"2020/'21*";"      40"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Flevoland (PV)";"2020/'21*";"      20"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Gelderland (PV)";"2020/'21*";"      70"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Utrecht (PV)";"2020/'21*";"      30"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Noord-Holland (PV)";"2020/'21*";"      80"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Zuid-Holland (PV)";"2020/'21*";"     130"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Zeeland (PV)";"2020/'21*";"      10"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Noord-Brabant (PV)";"2020/'21*";"     110"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Limburg (PV)";"2020/'21*";"      30"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Niet in te delen (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Nederland";"2020/'21*";"    5310"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Groningen (PV)";"2020/'21*";"     200"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Fryslân (PV)";"2020/'21*";"     210"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Drenthe (PV)";"2020/'21*";"     130"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Overijssel (PV)";"2020/'21*";"     340"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Flevoland (PV)";"2020/'21*";"     160"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Gelderland (PV)";"2020/'21*";"     500"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Utrecht (PV)";"2020/'21*";"     270"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Noord-Holland (PV)";"2020/'21*";"     890"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Zuid-Holland (PV)";"2020/'21*";"    1640"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Zeeland (PV)";"2020/'21*";"      90"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Noord-Brabant (PV)";"2020/'21*";"     620"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Limburg (PV)";"2020/'21*";"     220"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Niet in te delen (PV)";"2020/'21*";"      40"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Nederland";"2020/'21*";"     780"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Groningen (PV)";"2020/'21*";"     190"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Fryslân (PV)";"2020/'21*";"      10"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Drenthe (PV)";"2020/'21*";"      30"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Overijssel (PV)";"2020/'21*";"      10"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Flevoland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Gelderland (PV)";"2020/'21*";"      50"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Utrecht (PV)";"2020/'21*";"     100"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Noord-Holland (PV)";"2020/'21*";"      70"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Zuid-Holland (PV)";"2020/'21*";"     260"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Zeeland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Noord-Brabant (PV)";"2020/'21*";"      40"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Limburg (PV)";"2020/'21*";"      20"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Niet in te delen (PV)";"2020/'21*";"       0"
